"IntId","StrBanco","IntTransaccion","IntDocumento","DatFecha","StrDocumento","IntNaturaleza","IntValor","IntConciliado","IdSeguridad"
157,"05","01",16901,2017-03-07 00:00:00.000,"0",1,104400.00000,0,D7FBC62A-CC73-475D-B4D5-971B9EC0490C
158,"05","01",16902,2017-03-07 00:00:00.000,"0",1,114900.00000,0,D3368CEC-2BE9-4EDB-94D7-BA1564BAAE9F
159,"05","01",16904,2017-03-07 00:00:00.000,"0",1,109900.00000,0,"5DAF2051-1EB3-47D7-BEC0-9C2641B65553"
160,"05","01",16905,2017-03-07 00:00:00.000,"0",1,104400.00000,0,FB48CE2D-DBA1-4DC6-BC77-3BFEF5C81559
161,"05","01",16907,2017-03-08 00:00:00.000,"0",1,103800.00000,0,AF324F4A-1769-46B4-9E6C-1F672C599F00
162,"05","01",16912,2017-03-08 00:00:00.000,"0",1,10000.00000,0,EF157253-46FA-4DEE-AB59-267EAF2EDDDE
163,"05","01",16913,2017-03-08 00:00:00.000,"0",1,60000.00000,0,E03D193D-1FCD-431F-8FE3-2FF6BB0C68F3
164,"05","01",16914,2017-03-08 00:00:00.000,"0",1,84400.00000,0,DDEEB42F-5229-4577-B543-880F0F1D24F0
165,"05","01",16920,2017-03-06 00:00:00.000,"0",1,89900.00000,0,"5EF46E3E-3455-4A86-8849-2584C95A7C74"
166,"05","01",16926,2017-03-09 00:00:00.000,"0",1,98800.00000,0,"0306AC6D-4272-454D-B172-E5C041234823"
167,"05","01",16927,2017-03-09 00:00:00.000,"0",1,98800.00000,0,"07A7E84B-21E1-4B9B-810B-9B2B429D35B3"
168,"05","01",16928,2017-03-09 00:00:00.000,"0",1,121900.00000,0,"70FA3C25-1DA4-4F73-95D4-9AA6B936EED7"
169,"05","01",16929,2017-03-09 00:00:00.000,"0",1,121900.00000,0,"834171B5-19EF-4EBF-8BDA-1A8929195C0B"
170,"05","01",16930,2017-03-09 00:00:00.000,"0",1,114900.00000,0,"578F6CA5-52ED-4CAA-B8DD-6569DDFB37AA"
171,"05","01",16937,2017-03-09 00:00:00.000,"0",1,143800.00000,0,"7905E6C3-0E87-477E-8629-D546717793E1"
172,"05","01",16939,2017-03-11 00:00:00.000,"0",1,100500.00000,0,CBACFFF8-A701-462A-9BDB-88D7AFFA90BC
173,"05","01",16941,2017-03-10 00:00:00.000,"0",1,233157.00000,0,CD7CC36B-10C0-47CF-A9D8-5ADE5CE46679
174,"05","01",16943,2017-03-10 00:00:00.000,"0",1,154900.00000,0,"70D287E6-8D47-4FF9-8498-6E85749AB927"
175,"05","01",16944,2017-03-10 00:00:00.000,"0",1,104000.00000,0,B559D8DD-3F53-4009-9412-7A6794FF4437
176,"05","01",16944,2017-03-10 00:00:00.000,"0",1,400.00000,0,EF700E47-E082-4CB0-A6DD-D9F2E7284F7A
177,"05","01",16946,2017-03-10 00:00:00.000,"0",1,123800.00000,0,B2CABCE4-7F20-469A-A27A-0C2FFAF24E87
178,"05","01",16947,2017-03-13 00:00:00.000,"0",1,114900.00000,0,CCF55734-E041-4515-A9CA-8501925CBDDF
179,"05","01",16948,2017-03-13 00:00:00.000,"0",1,104400.00000,0,AAADD198-F5F7-4134-9B3F-006E29AE1481
180,"05","01",16949,2017-03-14 00:00:00.000,"0",1,160000.00000,0,AD095E69-5908-4E7F-ADBD-E80517B1C5B4
181,"05","01",16950,2017-03-14 00:00:00.000,"0",1,84400.00000,0,BAF8C027-5BB8-4A58-81CD-1D41FE6CF87E
182,"05","01",16951,2017-03-14 00:00:00.000,"0",1,50000.00000,0,"94338DBE-399B-46E6-9DBE-A51C5456EE45"
183,"05","01",16952,2017-03-14 00:00:00.000,"0",1,103800.00000,0,"83989E1B-63E5-4CCF-A73F-EF5859904675"
184,"05","01",16953,2017-03-14 00:00:00.000,"0",1,107181.00000,0,"0AF7553C-5D80-4973-8863-DE94BD8CD3DC"
185,"05","01",16954,2017-03-15 00:00:00.000,"0",1,109900.00000,0,C379ADEA-9E34-42C0-A6C5-D6847EC5BC5A
186,"05","01",16955,2017-03-15 00:00:00.000,"0",1,109900.00000,0,"376CF368-BB9B-4714-90CE-FF8F8B7FFC00"
187,"05","01",16956,2017-03-16 00:00:00.000,"0",1,114900.00000,0,"046D2A20-7A55-49E9-89C0-BC60E157D906"
188,"05","01",16957,2017-03-16 00:00:00.000,"0",1,89900.00000,0,"4825B77D-0C7C-4BE9-A0B9-AD38E0165B12"
189,"05","01",16958,2017-03-16 00:00:00.000,"0",1,104400.00000,0,"98490563-E7A3-4562-9347-296D93A0D94F"
190,"05","01",16960,2017-03-17 00:00:00.000,"0",1,260900.00000,0,"9820B486-B587-4413-8CD2-BD3D05AC0E48"
191,"05","01",16961,2017-03-17 00:00:00.000,"0",1,104400.00000,0,EE07BE04-A50D-43F7-B5ED-3C53E8CBC9FB
192,"05","01",16963,2017-03-17 00:00:00.000,"0",1,431423.00000,0,"2644C3E9-474C-49BF-B1F2-BFE529F29A29"
193,"05","01",16965,2017-03-22 00:00:00.000,"0",1,98800.00000,0,"1B05E8C4-3479-448A-B3A9-DB2EB7390E8C"
194,"05","01",16966,2017-03-22 00:00:00.000,"0",1,81800.00000,0,C46A7110-76FA-4C14-99F5-66B58D549C76
195,"05","01",16966,2017-03-22 00:00:00.000,"0",1,121900.00000,0,"120A288D-4F56-4CB1-AA58-4D4416305C7C"
